Date (UTC),URL,Image,Text,Scrape Date,Alert Type,Ransomware,Victimized Entity,Hashtagged country,Entity in image,Country,Industry
2024-04-29 06:13:00+00:00,https://twitter.com/dexpose_io/status/1784828297152541005#m,https://pbs.twimg.com/media/GMT7f7HWIAA7FBa.jpg,"DATA BREACH ALERT - Database of TORO TAXES allegedly leaked  Threat actor claims to be selling database of the organization, which is a national tax service company that provides professional tax preparation, filing - #data_breach #data_leak #dark_web #DataBreach #DataLeak",2024-05-12 09:14:32+00:00,Data Breach,,Toro Taxes,,Toro Taxes,United States,Commercial & Professional Services
2024-04-28 11:30:00+00:00,https://twitter.com/dexpose_io/status/1784545611485741563#m,https://pbs.twimg.com/media/GMP6oytWMAAnsef.jpg,"DATA BREACH ALERT - Database of Central Bank of Argentina allegedly kept for sale  Threat actor claims to be selling Argentina Central Bank's database, which contains customer full name, CUIL, DNI (National identity document), city and phone number. - #data_breach #data_leak",2024-04-28 21:24:15+00:00,Data Breach,,Central Bank of Argentina,Argentina,Central Bank of Argentina,Argentina,Banks
2024-04-28 08:00:00+00:00,https://twitter.com/dexpose_io/status/1784492751482147117#m,https://pbs.twimg.com/media/GMMW2N_X0AAjt6i.jpg,RANSOMWARE ALERT - Herron Todd White falls victim to BLACK SUIT Ransomware  Group claims to have obtained organization's data. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack,2024-04-28 21:24:15+00:00,Ransomware,Black Suit,Herron Todd White,,Herron Todd White,Australia,Real Estate Management & Development
2024-04-26 12:54:00+00:00,https://twitter.com/dexpose_io/status/1783842126947819594#m,https://pbs.twimg.com/media/GMF67-HW4AAlAQH.jpg,RANSOMWARE ALERT - Erler & Kalinowski falls victim to DANON Ransomware  Group claims to have access to 1TB of organization data and to publish it within the next 6-7 days. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack,2024-04-27 10:14:35+00:00,Ransomware,DANON Ransomware,Erler & Kalinowski,UNK,Erler & Kalinowski,United States,Commercial & Professional Services
2024-04-26 08:28:00+00:00,https://twitter.com/dexpose_io/status/1783775067073040826#m,https://pbs.twimg.com/media/GME976iXkAAEEKc.jpg,"DATA BREACH ALERT - Database of NorthStarVip allegedly leaked  Threat actor claims to have leaked the data of NorthStarVip that contains user information such as username, password, address etc. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services",2024-04-27 10:14:35+00:00,Data Breach,UNK,NorthStarVip,UNK,NORTHSTARVIP,United States,Insufficient Information
2024-04-25 13:52:00+00:00,https://twitter.com/dexpose_io/status/1783494265118597627#m,https://pbs.twimg.com/media/GMA-ii6XoAA8r95.jpg,"DATA BREACH ALERT - Database of BBVA bank creds and server access allegedly leaked  The threat actor claims to have leaked the database of BBVA bank creds and server access. The claimed data includes GivenName, Name, Surname, SamAccountName, SID etc. - #data_breach #data_leak",2024-04-27 10:14:35+00:00,Data Breach,,BBVA,,BBVA,Estonia,Financial Services
2024-04-25 08:54:00+00:00,https://twitter.com/dexpose_io/status/1783419224200712601#m,https://pbs.twimg.com/media/GL_6RADWsAAyak-.jpg,"DATA BREACH ALERT - Database of Mobilier Prive allegedly leaked  Threat actor claims to have leaked database of the organization, which is an online furniture store that offers a variety of high-quality products, including sofas, beds, tables, and other furniture. - #data_breach",2024-04-25 08:54:00+00:00,Data Breach,,Mobilier Prive,,MOBILIER PRIV?? (Mobilier Private),France,Consumer Discretionary Distribution & Retail
2024-04-24 13:53:00+00:00,https://twitter.com/dexpose_io/status/1783132064994189485#m,https://pbs.twimg.com/media/GL71AIcXwAAk1qI.jpg,"DATA BREACH ALERT - Database of COPPEL is allegedly leaked  Threat actor claims to be selling the data of COPPEL include NOMBRE, RFC, COLONIA, ESTADO MUNICIPIO, TARJETA, DIGITOS TEL. CASA CELULAR etc. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services",2024-04-25 08:54:00+00:00,Data Breach,,COPPEL,,COPPEL (Mexican Petroleum Company),Mexico,Consumer Discretionary Distribution & Retail
2024-04-24 08:30:00+00:00,https://twitter.com/dexpose_io/status/1783050991744454801#m,https://pbs.twimg.com/media/GL6rV3aXgAE8jxD.jpg,"DATA BREACH ALERT - Database of TeleTech Holdings (TTEC) allegedly leaked  Threat actor claims to have leaked database of the organization, which is a global customer experience (CX) technology and services company that offers AI-enabled digital CX solutions. - #data_breach",2024-04-25 08:54:00+00:00,Data Breach,,TeleTech Holdings (TTEC),,Teletech Holdings,United States,Commercial & Professional Services
2024-04-23 20:33:00+00:00,https://twitter.com/dexpose_io/status/1782870320547770816#m,https://pbs.twimg.com/media/GL4HDSVX0AIcLkN.jpg,RANSOMWARE ALERT - Ministerio de Desarrollo Local falls victim to Rhysida Ransomware  Group claims to publish the organization's data within 6-7 days. They have provided sample screenshots on their dark web portal. - #data_breach #data_leak #dark_web #DataBreach #DataLeak,2024-04-25 08:54:00+00:00,Ransomware,Rhansomware (sic): Rhysida,Ministerio de Desarrollo Local,Argentina (based on the name of the organization mentioned in the tweet),MINISTERIO DE DESARROLLO LOCAL,EL SALVADOR,Government and public sector
2024-04-23 16:12:00+00:00,https://twitter.com/dexpose_io/status/1782804671632924729#m,https://pbs.twimg.com/media/GL3LYO_WIAUcLtd.jpg,RANSOMWARE ALERT - Bank Banten falls victim to RansomHouse Ransomware  The group claims to have access to 450 GB of the organization's data. - #data_breach #data_leak #infosec #dark_web #DataBreach #DataLeak #Services #CyberThreat #CyberAttack,2024-04-25 08:54:00+00:00,Ransomware,RansomHouse,Bank Banten,Indonesia,BANK PEMBANGUNAN DAERAH BANTEN TBK,Indonesia,Banks
2024-04-23 08:21:00+00:00,https://twitter.com/dexpose_io/status/1782686273229975827#m,https://pbs.twimg.com/media/GL1fcbDW0AIY-CI.jpg,"DATA BREACH ALERT - Alleged source code leak of Bitcoin Chivo Wallet ATMs in El Salvador  A threat actor claims to have leaked the source code of the Bitcoin Chivo Wallet ATMs deployed in El Salvador. Notably, these ATMs are associated with the government's official wallet syste",2024-04-25 08:54:00+00:00,Data Breach,,Bitcoin Chivo Wallet,El Salvador,Chivo Wallet,El Salvador,Software & Services
